2022-05-15 18:36:28.888  INFO [authorizationService,,] 8440 --- [restartedMain] c.c.AuthorizationMicroserviceApplication : Starting AuthorizationMicroserviceApplication using Java 11.0.14 on LAPTOP-IDG27ARQ with PID 8440 (C:\Users\kavya\OneDrive\Desktop\PensionManagementSystem-master\authorization-microservice\target\classes started by kavya in C:\Users\kavya\OneDrive\Desktop\PensionManagementSystem-master\authorization-microservice)
2022-05-15 18:36:28.960  INFO [authorizationService,,] 8440 --- [restartedMain] c.c.AuthorizationMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-05-15 18:36:29.347  INFO [authorizationService,,] 8440 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-05-15 18:36:29.348  INFO [authorizationService,,] 8440 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-05-15 18:36:31.982  INFO [authorizationService,,] 8440 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-05-15 18:36:32.114  INFO [authorizationService,,] 8440 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 112 ms. Found 1 JPA repository interfaces.
2022-05-15 18:36:32.905  INFO [authorizationService,,] 8440 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=528b1acf-83df-34cd-88dd-6d1010a2cef8
2022-05-15 18:36:35.465  INFO [authorizationService,,] 8440 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9090 (http)
2022-05-15 18:36:35.498  INFO [authorizationService,,] 8440 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-05-15 18:36:35.500  INFO [authorizationService,,] 8440 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-05-15 18:36:35.833  INFO [authorizationService,,] 8440 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-05-15 18:36:35.834  INFO [authorizationService,,] 8440 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 6484 ms
2022-05-15 18:36:36.014  INFO [authorizationService,,] 8440 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-05-15 18:36:36.540  INFO [authorizationService,,] 8440 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-05-15 18:36:36.555  INFO [authorizationService,,] 8440 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testDB'
2022-05-15 18:36:37.288  INFO [authorizationService,,] 8440 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-05-15 18:36:37.464  INFO [authorizationService,,] 8440 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-05-15 18:36:37.935  INFO [authorizationService,,] 8440 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-05-15 18:36:38.264  INFO [authorizationService,,] 8440 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-05-15 18:36:39.814  INFO [authorizationService,,] 8440 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-05-15 18:36:39.831  INFO [authorizationService,,] 8440 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-05-15 18:36:41.828  INFO [authorizationService,,] 8440 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2022-05-15 18:36:42.202  WARN [authorizationService,,] 8440 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-05-15 18:36:43.908  INFO [authorizationService,,] 8440 --- [restartedMain] o.s.s.web.DefaultSecurityFilterChain     : Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6a36d5e, org.springframework.security.web.context.SecurityContextPersistenceFilter@22139cca, org.springframework.security.web.header.HeaderWriterFilter@26ecafbb, org.springframework.security.web.authentication.logout.LogoutFilter@3de560b1, com.cognizant.filter.JwtFilter@4bc09413, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@333b7291, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@101974c1, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6c1cd623, org.springframework.security.web.session.SessionManagementFilter@58ac9443, org.springframework.security.web.access.ExceptionTranslationFilter@1e32faf9, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2a3c36e1]
2022-05-15 18:36:46.599  INFO [authorizationService,,] 8440 --- [restartedMain] o.s.cloud.commons.util.InetUtils         : Cannot determine local hostname
2022-05-15 18:36:46.992  INFO [authorizationService,,] 8440 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9090 (http) with context path ''
2022-05-15 18:36:48.473  INFO [authorizationService,,] 8440 --- [restartedMain] o.s.cloud.commons.util.InetUtils         : Cannot determine local hostname
2022-05-15 18:36:48.474  INFO [authorizationService,,] 8440 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-05-15 18:36:48.522  INFO [authorizationService,,] 8440 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-05-15 18:36:48.552  INFO [authorizationService,,] 8440 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-05-15 18:36:48.880  INFO [authorizationService,,] 8440 --- [restartedMain] c.c.AuthorizationMicroserviceApplication : Started AuthorizationMicroserviceApplication in 23.124 seconds (JVM running for 25.461)
2022-05-15 18:41:14.671  INFO [authorizationService,,] 8440 --- [http-nio-9090-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-05-15 18:41:14.673  INFO [authorizationService,,] 8440 --- [http-nio-9090-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-05-15 18:41:14.678  INFO [authorizationService,,] 8440 --- [http-nio-9090-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 5 ms
2022-05-15 18:41:14.962  INFO [authorizationService,fa1bb730008c67f5,556907e2479491ae] 8440 --- [http-nio-9090-exec-1] c.c.controller.AuthorizationController   : STARTED - generateToken
2022-05-15 18:41:14.965  INFO [authorizationService,fa1bb730008c67f5,556907e2479491ae] 8440 --- [http-nio-9090-exec-1] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-15 18:41:15.241  INFO [authorizationService,fa1bb730008c67f5,556907e2479491ae] 8440 --- [http-nio-9090-exec-1] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-15 18:41:15.246  INFO [authorizationService,fa1bb730008c67f5,556907e2479491ae] 8440 --- [http-nio-9090-exec-1] c.c.controller.AuthorizationController   : END - generateToken
2022-05-15 18:42:12.525  INFO [authorizationService,acdcd64ad1ab2554,6dcc7af0823b8106] 8440 --- [http-nio-9090-exec-2] c.c.controller.AuthorizationController   : STARTED - generateToken
2022-05-15 18:42:12.526  INFO [authorizationService,acdcd64ad1ab2554,6dcc7af0823b8106] 8440 --- [http-nio-9090-exec-2] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-15 18:42:12.530  INFO [authorizationService,acdcd64ad1ab2554,6dcc7af0823b8106] 8440 --- [http-nio-9090-exec-2] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-15 18:42:12.532 ERROR [authorizationService,acdcd64ad1ab2554,6dcc7af0823b8106] 8440 --- [http-nio-9090-exec-2] c.c.service.CustomUserDetailService      : ERROR-username not found
2022-05-15 18:42:12.533 ERROR [authorizationService,acdcd64ad1ab2554,6dcc7af0823b8106] 8440 --- [http-nio-9090-exec-2] c.c.controller.AuthorizationController   : EXCEPTION - generateToken
2022-05-15 18:42:12.537  INFO [authorizationService,acdcd64ad1ab2554,6dcc7af0823b8106] 8440 --- [http-nio-9090-exec-2] c.c.exception.ControllerAdviceClass      : STARTED - controllerAdviceResponse
2022-05-15 18:42:12.541  INFO [authorizationService,acdcd64ad1ab2554,6dcc7af0823b8106] 8440 --- [http-nio-9090-exec-2] c.c.exception.ControllerAdviceClass      : END - controllerAdviceResponse
2022-05-15 18:42:12.572  WARN [authorizationService,acdcd64ad1ab2554,6dcc7af0823b8106] 8440 --- [http-nio-9090-exec-2] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [com.cognizant.exception.ResourceNotFound: user not found]
2022-05-15 18:42:12.688  INFO [authorizationService,c91a8e47d6883db6,2e1a2c950a6db23c] 8440 --- [http-nio-9090-exec-3] c.c.controller.AuthorizationController   : STARTED - generateToken
2022-05-15 18:42:12.688  INFO [authorizationService,c91a8e47d6883db6,2e1a2c950a6db23c] 8440 --- [http-nio-9090-exec-3] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
